sample	library	flowlane	platform	fq1	fq2
T163	A1	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-A1_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-A1_22C2GJLT4.1-R2.fastq.gz
T163	A1	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-A1_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-A1_22C2GJLT4.2-R2.fastq.gz
T163	B1	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-B1_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-B1_22C2GJLT4.1-R2.fastq.gz
T163	B1	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-B1_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-B1_22C2GJLT4.2-R2.fastq.gz
T163	C1	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-C1_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-C1_22C2GJLT4.1-R2.fastq.gz
T163	C1	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-C1_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T163-043024-C1_22C2GJLT4.2-R2.fastq.gz
T165	D1	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-D1_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-D1_22C2GJLT4.1-R2.fastq.gz
T165	D1	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-D1_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-D1_22C2GJLT4.2-R2.fastq.gz
T165	E1	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-E1_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-E1_22C2GJLT4.1-R2.fastq.gz
T165	E1	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-E1_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-E1_22C2GJLT4.2-R2.fastq.gz
T165	F2	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-F2_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-F2_22C2GJLT4.1-R2.fastq.gz
T165	F2	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-F2_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T165-043024-F2_22C2GJLT4.2-R2.fastq.gz
T166	G4	22C2GJLT41	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T166-043024-G4_22C2GJLT4.1-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T166-043024-G4_22C2GJLT4.1-R2.fastq.gz
T166	G4	22C2GJLT42	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T166-043024-G4_22C2GJLT4.2-R1.fastq.gz	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/twins/30-1029610733/00_fastq/T166-043024-G4_22C2GJLT4.2-R2.fastq.gz
